N,date_full,wday,REGION_NAIMENOVANIE,NOMENKLATURA_EKTU_PODGRUPPA,NOMENKLATURNAYA_GRUPPA_NAIMENOVANIE,Сумма кол-во СТиУ,Сумма выручка
460,2023-07-09,7,Вологодская область,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",16.170945579277376,7696.488446723493
461,2023-07-13,4,Республика Хакасия,FOOD,Снеки,67.3773298204291,10223.642510673228
462,2023-08-23,3,Санкт-Петербург г.,FOOD,"Сладкие газированные напитки, холодный чай",2524.9910483069957,458291.75740244717
463,2023-08-24,4,Тюменская область,NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",262.1290293440206,324083.8114628774
464,2023-09-12,2,Владимирская область,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",52.49405613088565,78426.41220540467
465,2023-08-26,6,Санкт-Петербург г.,NON-FOOD,Автомобильные масла и смазки пластичные (фасованные),34.92034145959516,71424.88927300135
466,2023-08-31,4,Свердловская область,FOOD,Спортивные напитки,24.945447658928337,2296.208551336983
467,2023-10-04,3,Республика Татарстан (Татарстан),NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",11.542839347933231,19152.62908421759
468,2023-10-17,2,Москва г,FOOD,Гастроном,908.9450474906532,166185.23476389592
469,2023-10-12,4,Омская область,FOOD,"Сладкие газированные напитки, холодный чай",1341.1576453870732,267131.17282412347
470,2023-10-22,7,Ханты-Мансийский автономный округ - Югра,NON-FOOD,Очки для водителя,16.373447258571375,16299.272550393818
471,2023-10-18,3,Новгородская область,NON-FOOD,Автотовары,67.94606421600832,69126.81733674248
472,2023-10-27,5,Тверская область,FOOD,Табачные изделия,2244.852196963998,696255.2807057976
473,2021-02-06,6,Воронежская область,FOOD,Бакалея,67.6397210582776,2588.5407909317255
474,2021-01-02,6,Республика Мордовия,NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",11.02397492512515,6672.611274504742
475,2021-01-05,2,Красноярский край,Прочие услуги,Услуги АЗС/АЗК,3.760044716646213,3.3021707910774514
476,2021-02-01,1,Томская область,FOOD,Соки и сокосодержащие напитки,28.993761610872514,3060.720361016338
477,2021-01-06,3,Пензенская область,FOOD,Гастроном,15.463769217159165,2296.080856168368
478,2021-01-15,5,Алтайский край,NON-FOOD,Тиражная лотерея,11.223301872423992,1438.7343262235745
479,2021-01-16,6,Пензенская область,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",28.847915798152787,8769.233907905142
480,2021-02-18,4,Ярославская область,Прочие услуги,Услуги мойки,32.05128367850914,10659.137200130388
481,2021-03-12,5,Челябинская область,FOOD,Бакалея,49.70744153902119,5454.231275812573
482,2021-03-18,4,Иркутская область,NON-FOOD,"Хозяйственные товары, персональный уход",205.4334186071739,10103.892174963812
483,2021-03-23,2,Свердловская область,FOOD,Гастроном,602.5815182866702,79764.09246575253
484,2021-03-28,7,Республика Татарстан (Татарстан),NON-FOOD,Карты лояльности,8.343852371329628,1126.561319493581
485,2021-04-10,6,Омская область,,Очки для водителя,11.786719403476509,3570.4283206263267
486,2021-04-19,1,Калининградская область,FOOD,Энергетические напитки,204.3270578796616,31877.890643179377
487,2021-04-19,1,Томская область,NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",27.364508079102862,23513.694009974202
488,2021-04-19,1,Республика Мордовия,FOOD,Кондитерские изделия,54.45846727992573,6326.394785643619
489,2021-04-22,4,Красноярский край,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",121.74296100237979,89147.86132625458
490,2021-03-18,4,Псковская область,FOOD,Снеки,56.62649850060129,8760.606776276061
491,2021-03-27,6,Новосибирская область,FOOD,Табачные изделия,17481.105326165554,4253641.76758134
492,2021-03-27,6,Курская область,FOOD,Вода,102.6925438258017,11309.303275226193
493,2021-04-13,2,Самарская область,NON-FOOD,Уход за автомобилем,151.37734106962125,27515.291616958184
494,2021-04-15,4,Республика Татарстан (Татарстан),NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",24.972553687065428,10280.72382976594
495,2021-04-21,3,Иркутская область,NON-FOOD,"Хозяйственные товары, персональный уход",201.96971364447919,9432.552492986566
496,2021-04-21,3,Алтайский край,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",102.71749705190165,39244.98240845161
497,2021-04-26,1,Владимирская область,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",52.00637747187507,43549.359133152575
498,2021-04-24,6,Самарская область,NON-FOOD,Карты лояльности,46.92441424819475,13526.340181613057
499,2021-05-25,2,Тюменская область,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",371.2875474373257,201896.41968553953
500,2021-05-28,5,Челябинская область,NON-FOOD,Автомобильные масла и смазки пластичные (фасованные),47.17543978066833,54638.67078550755
